the_geom,name,cartodb_id,created_at,updated_at
0106000020E610000001000000010300000001000000140000001323FE61A3B75A40F658A68D571D19C0ECCD49BC94B75A4078267095451E19C088C81F498BB75A401B1705DE342119C094BB19B847B75A4071E6B7B6552019C03371B9F84BB75A40744A3F81802319C0D63425E83BB75A4007FC0011792319C02432902E37B75A40C8ABD9CF3E2519C08C5352FF17B75A401E448063AE2519C0E7E2E80A06B75A4083C01E7F282519C0180FFFC1F9B65A409FDA3D26EB2719C0284E288C0EB75A4004E9C3B7022A19C0597A3E4302B75A402B153B92422B19C04B57ADD6C4B65A40C4989C76C82B19C08ED0B806B9B65A40748BDC85691C19C0DC5E89F4FEB65A40E65A70D9491319C0BB719C0720B75A408BB91DAC9B1319C0C68661C571B75A405E84FA371D1319C01276005D81B75A40DA4818A6CC1419C0830D56957DB75A400FB46239031919C01323FE61A3B75A40F658A68D571D19C0,BATU AMPAR,8,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000000F0000009F8E8835FEB35A4087B77611ACE018C0CE7C3B4085B35A40D35A938A4CD618C0745C3F8D4CB35A40C552CC1607D218C033F1FF0B44B35A404E604EFDE4D018C0E2762EBEA7B35A40AA6FB9B4F5CD18C03113CB5AD9B35A40F8D13829ADCA18C00C6B14BAECB35A40A7D425A519CC18C04052F424EEB35A40A69D196068CD18C08E4F5F6BE9B35A4037AAB6204DD118C01FC6D5E1D8B35A4031A10A870ED218C01CAA3D8401B45A401174AE86D5D518C0BC5FDDC405B45A40ED74B2310FD918C078D805E625B45A404DB1986E99DA18C033512E0746B45A402EBB48B311DD18C09F8E8835FEB35A4087B77611ACE018C0,BENDUNGAN HILIR,9,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000000E00000041337CBBBFB75A404CDC6C5923AC18C03163ED4960B75A40837EC3310BAF18C0451F7D1B16B75A402C78041439B118C0AF4E0B9BE2B65A40695A13CB10B218C0F0C716CBD6B65A40F49EA1F69FAF18C02A5CF43AFAB65A40388A5C47B6AF18C00B7DD3FC06B75A407F5148AC91AA18C0EBFE8068DDB65A40095FCA926FA918C03CA9E9B3FAB65A4017A82E0B9EA618C0A2BCDFD5EFB65A40C10F88772EA618C042727F16F4B65A406D77E1E3BEA518C05350DA363FB75A405A5CDD1603A818C0E712800887B75A407F5148AC91AA18C041337CBBBFB75A404CDC6C5923AC18C0,CEMPAKA BARU,18,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000001800000084AC87EBB3B75A40495DBE103AE818C0DD2D5248B6B75A40B5ABFC8041E818C01FA75D78AAB75A4068497D0C8AEB18C0782828D5ACB75A40F679E9B8A9F418C03D78B207B2B75A400B8B5CC62DF818C0DF3B1EF7A1B75A4057E34A7BADFA18C0392C83AC59B75A40F9A6643E23F918C0B963D05834B75A400482B02CEFF818C0B963D05834B75A40983372BCE7F818C0357F85A737B75A406D6C67D2CBF518C017A0646944B75A40B3C53AAD44F318C0674ACDB461B75A40251D25B78AF218C05BB8A1EF6EB75A40DAF1B18784F418C05F736BA37CB75A402AB8B8C666F418C044B0E2C260B75A4081F58329EAF018C00CBB36A973B75A40A48667F44DF018C044B0E2C260B75A404B532D5102EE18C09A84AF1A41B75A408AA354923CEC18C04B7978255AB75A40755BD53F07EA18C026DF8D3359B75A40B5ABFC8041E818C0816E243F47B75A4089ADE55174E618C0D6D3563E72B75A4034153FBE04E618C0C9412B797FB75A409923C54F1CE818C084AC87EBB3B75A40495DBE103AE818C0,BIDARA CINA,10,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000020000000103000000010000005B000000766B1EC40FBA5A400BA76C96A76E18C053D133D20EBA5A40994F828C616F18C0484DD4BB07BA5A40B93B4188B17218C0701123BACBB95A40258A7FF8B87218C0763B87C68EB95A40E09EC4A7A27218C0CFBC512391B95A400BA76C96A76E18C0EB4F43062CB95A4071230BB2216E18C07F81833029B95A4020EFEBE8DC7018C0F257DCC359B85A40CB5645556D7018C0D6F5218D07B85A4036376B3B127318C0AD70D6E977B75A40F7DCB23AA07A18C028ED59E244B75A404B3E4D895E7C18C0A35B112C26B75A406D98240F117D18C04064B36708B75A4089205C40367D18C046FDB1CC80B65A40FEA4C1CFF58018C07CE4913782B65A407BA0EB82568118C0D00B618A40B65A40FC6DB58A448218C0D327F9E717B65A402AA3D8FEC28218C0E306F4B62AB55A402835C074608518C0386C26B655B55A4048A9D526169118C03A7AF26441B55A40E735E3A4DA9018C08A85295A28B55A40FA50E771968E18C0D1B9FE3D2AB55A40B90A51F0938A18C00F48A9BC8FB45A401847372D1E8C18C0943AC01C78B45A40EB1114B99F8B18C03FD58D1D4DB45A400D6CEB3E528C18C033512E0746B45A407FC3D548988B18C0BF0CDBC927B45A404BC6A33FC48418C0C07B7522DDB35A409583FEE4678518C0A873B6F5CEB35A402AA3D8FEC28218C06DC34028D4B35A4075973FE9178218C0119578C6AFB35A404A48DE48967618C0C28941D1C8B35A4071745523D67718C0144276CBD1B35A402412D6AE1E7B18C0E5C25D1900B45A40EC01674CD47A18C01A9C71D515B45A40BE953793A47B18C0FBBC509722B45A40BFCC43D8557A18C0C8826E3143B45A401365EA6BC57A18C0502283964DB45A405C2CD6D0A07518C05E8377AFF7B45A404F1A7E9D237718C0AA72164707B55A404C7559CE0F7B18C0AD1F144C29B55A40F6A5A6F5EE7B18C03F35BC184FB55A4079AA7C428E7B18C03D27F06963B55A40DEEF0E19577C18C007D175A6ACB55A4073A1D0A84F7C18C02A6B6098ADB55A406ECF3054C27B18C05A28DCF6EBB55A40B2BAEBA4D87B18C05A28DCF6EBB55A40061C86F3967D18C0BE8ED413BFB55A404535A1EF1F7D18C0462EE978C9B55A40C1F9BE5DCF7E18C0ACE010F1F4B55A408317B0A6F77D18C06A6705C100B65A40CF4223D6FD7B18C0E36622B22CB65A40DF261B5E087B18C0632FD50552B65A402FED219DEA7A18C0B4786FA7A5B65A402077429F427918C053204339BEB65A40DDC29393DD7718C020E660D3DEB65A40FF53775E417718C0F47414D0F8B65A409A45F1CC297518C0156201BDD7B65A4059FF5A4B277118C07F30C192DAB65A405F0807E5657018C0D38727E319B75A405ED1FA9FB47118C00E2AD10129B75A405C63E215527418C046BEAE714CB75A408C061E14337218C01D9991C9BEB75A402F6F5CA6BC6C18C063BF9AFED4B75A40CDC45DDFCF6D18C024015982EEB75A40D89FA9CD9B6D18C09B53786EF8B75A40C48E36C0176A18C008CF35491DB85A40702D9C71596818C0FB3C0A842AB85A40A93D0BD4A36818C0C7552A1929B85A40B87CDE8C9A6B18C03FB615B41EB85A40E47AF5BB676D18C02492BE2939B85A40782CB74B606D18C082CE523A49B85A40C86A67D4DC6418C00A6E679F53B85A40C3CFD3C4006318C0E9807AB274B85A40A275FC3E4E6218C060D3999E7EB85A40692E8197526318C0ADD004E579B85A404BF793D7E16C18C0CF5C23288FB85A404BF793D7E16C18C028DEED8491B85A40A275FC3E4E6218C09D2241C2AFB85A40F23B037E306218C0777A8A21C3B85A405C5335A9866318C03046B53DC1B85A40B745D247E96C18C0E70314ABD3B85A40D3CD09790E6D18C0BDA09356D9B85A40A13EF0F99C6318C0B2BB659608B95A40C9A173198E6318C0EE6BDB6303B95A40F05541AA336D18C0AFAD99E71CB95A40C929CACFF36B18C063B02EA121B95A40C9A173198E6318C0C57655B9F6B95A40B2EBDB3CF66318C0CD3FEB1BF0B95A40215D04733F6E18C0766B1EC40FBA5A400BA76C96A76E18C001030000000100000005000000190E5F1332B85A4029DE5956186518C056CCA08F18B85A40719BB4FBBB6518C09837E01021B85A405FC14D33E96018C0CB10F4CC36B85A40B459F4C6586118C0190E5F1332B85A4029DE5956186518C0,ANCOL,1,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000001F000000E188ED00C2B65A40E7917C1EFB1119C04064B36708B75A406F68F2BF271219C0DC5E89F4FEB65A40E65A70D9491319C08ED0B806B9B65A40748BDC85691C19C04B57ADD6C4B65A40C4989C76C82B19C070F197C8C5B65A40405DBAE4772D19C0D149C436ADB65A40EAC41351082D19C02155FB2B94B65A405141B26C822C19C00731A4A1AEB65A407409A27C972A19C060B26EFEB0B65A40BA2B69125F2919C09F7E7C2983B65A40F80D78C9362A19C02363C7DA7FB65A40A8106545A32B19C06CA5686D6DB65A40078457C7DE2B19C0EBCEE96A5CB65A405F8A16E5B02919C04242E81873B65A4021A8072ED92819C083AD279A7BB65A407C8066A0382719C00E69D45C5DB65A40B690D502832719C0E158560341B65A40C2A22D36002619C00CBCD6573BB65A406D4193E7412419C0F86015304FB65A402B8DE4DBDC2219C09924811F3FB65A40DBFDE9E1AB2119C0F652498163B65A402D3209ABF01E19C072CFCC7930B65A405C9E3864201E19C00E69D45C5DB65A40E110273B221B19C01116D2617FB65A409C256CEA0B1B19C02EE726F186B65A407D39ADEEBB1719C0A9F40F919EB65A40DDAC9F70F71719C06D449AC3A3B65A40EABEF7A3741619C0C3A9CCC2CEB65A40003E833B5B1719C0635F6C03D3B65A40B2E59486DB1419C0E188ED00C2B65A40E7917C1EFB1119C0,BALE KAMBANG,3,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000000C00000084AC87EBB3B75A40495DBE103AE818C0C9412B797FB75A409923C54F1CE818C0D6D3563E72B75A4034153FBE04E618C0D426593950B75A4049D5675AD4DF18C010D7CE064BB75A407878A358B5DD18C0F51346262FB75A40B8C8CA99EFDB18C0B0ED3CF118B75A40764B28D33BD918C04E95108331B75A4098DC0B9E9FD818C0AD70D6E977B75A4034C4F44C50DC18C0099F9E4B9CB75A406526934648E118C0F543DD23B0B75A402368537BABE518C084AC87EBB3B75A40495DBE103AE818C0,BALI MESTER,4,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E610000001000000010300000001000000250000001335BDA4BDBA5A40674894BACE3519C0C7451E0DAEBA5A40C2B2DAA2CB3619C0B34B2B8F8BBA5A40EC42D947363B19C08180E38161BA5A403C09E086183B19C05470652845BA5A4086FD46716D3A19C01BDC87B821BA5A407FBD8E927D3C19C0F386D31213BA5A40A5B2F9270C3F19C069D9F2FE1CBA5A4037F6A22DA24119C0F5949FC1FEB95A407AE15D7EB84119C02A7C7F2C00BA5A40F065C30D784519C01EF81F16F9B95A40A53A50DE714719C0AC52FE2E11BA5A402CDAB93AED4819C00C9D5EEE0CBA5A4014ED1519A44A19C07DA34E7FBEB95A40377EF9E3074A19C0C7E5EF11ACB95A40DD13B3FB0A4919C02F07B2E28CB95A4057A1C424094C19C06033C89980B95A4066E097DDFF4E19C0C399C0B653B95A40BDAF4AB6204E19C01E2957C241B95A402B6CA1B08A4B19C090C0ACFA3DB95A409728F8AAF44819C0C0ECC2B131B95A405F188948AA4819C01860C15F48B95A40E4536BDAFA4619C0289FEA295DB95A40C9394C33384419C0CF1D20CD5AB95A4074D8B1E4794219C0843C4DE436B95A4048A38E70FB4119C07E73B7813DB95A40E0308114B93C19C05F9496434AB95A40DA95ED04DD3A19C0C399C0B653B95A40BA3B167F2A3A19C04054A75B8DB95A40CAB1F57CD23B19C0DEEDAE3EBAB95A403D40ECCBC93919C0F9B0371FD6B95A404F5BF098853719C00EAB2A9DF8B95A40886B5FFBCF3719C0AE60CADDFCB95A405809C101D83219C0A83666D139BA5A405809C101D83219C0ABE363D65BBA5A40AD6A5B50963419C0EDEDD4AD9ABA5A405C6D48CC023619C01335BDA4BDBA5A40674894BACE3519C0,BAMBU APUS,5,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000001900000022429C3AB2B45A406DEA2CC9F90319C0CD6DCFE2D1B45A405D063541EF0419C045CEBA7DC7B45A4023BFB999F30519C0C2E96FCCCAB45A4036992062C60A19C00ED90E64DAB45A4014083D97620B19C00147E39EE7B45A405A20736DF20F19C014A2A4C6D3B45A40E7917C1EFB1119C091BD5915D7B45A40CAD238A8241319C08847C6ADBBB45A40E65A70D9491319C064ADDBBBBAB45A403ABC0A28081519C06100DEB698B45A401DFDC6B1311619C07FDFFEF48BB45A40A46524C9FB1819C09C11222E5DB45A40D2D153822B1819C061D046B917B45A40CCFFB32D9E1719C099D3BE81F0B35A408A821167EA1419C08778FD5904B45A409ED42179571119C0EB7D27CD0DB45A4076A8AA9E171019C0D0BA9EECF1B35A40DF926144F40C19C065ECDE16EFB35A40A1E75ED2CD0A19C0DE5A9660D0B35A400A9B0933F90819C039EA2C6CBEB35A406DB32084480519C0926BF7C8C0B35A408369B860E00419C097C5F2D204B45A40181B7AF0D80419C0EE5ABCCFB0B45A40573495EC610419C022429C3AB2B45A406DEA2CC9F90319C0,BANGKA,6,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
0106000020E6100000010000000103000000010000001700000049194A2A58B65A40B61E48667C4619C05C663FA358B65A40B0159CCC3D4719C07CE4913782B65A400912CA2AD84A19C0D4F6C13BCFB65A4090B13387534C19C053204339BEB65A407184D7861A5019C0354FEEA9B6B65A40FEF5E037235219C0FD29AB9248B65A4014AC7814BB5119C06082D70030B65A406F16BFFCB75219C0ACE010F1F4B55A4026596457145219C0ACE010F1F4B55A4030FDA3002F5319C07B15C9E3CAB55A40A95D3AA4B35119C098E61D73D2B55A40EFB60D7F2C4F19C018AFD0C6F7B55A407E962FBA974E19C032D32751DDB55A407A32A8EF6C4B19C054CEE0ECA7B55A40A4034499C04819C082DE5E46C4B55A407E0ED903324619C01C6A9A7A05B65A406C61EDC0D84519C01C6A9A7A05B65A40E6C183645D4419C0B348D8A924B65A401ED2F2C6A74419C069F86A684BB65A409260E9159F4219C0DF4A8A5455B65A405347CE19164319C070C100CB44B65A401C9BE681F64519C049194A2A58B65A40B61E48667C4619C0,BARU,7,2015-01-10 14:29:58.366572+00,2015-01-10 14:29:58.366572+00
